ts                  orig_ip           orig_port   resp_ip           resp_port   source_tag     proto   duration   orig_byts          resp_byts          conn_flags  orig_pkts   resp_pkts   uid
1258535697.963212   192.168.1.102     1188        212.227.97.133    80       	bro-demo       tcp     0          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)     CwaOGpMaXRLyN1I9l
1258535844.992857   192.168.1.104     1201        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)    CE0iM331nflvDc0Na6
1258538144.113980   192.168.1.103     1209        212.227.97.133    80       	bro-demo       tcp     0          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)    CLc5Z32QLmyG5m1Qr3
1258542939.113190   192.168.1.102     1230        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)    CUf7eI2eWgFJtGOQzh
1258543001.826807   192.168.1.104     1242        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)    Cedi1m3ZsIGImN88L1
1258545366.420423   192.168.1.103     1250        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)    Cd7zrT3QR2RLwG6dxl
1258550113.838307   192.168.1.102     1282        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)     CbNQxpLtyZuqf5pO4
1258550223.60465   192.168.1.104     1296        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)     CojyiombPHVHYxF5l
1258552564.33360   192.168.1.103     1301        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)    CrP9Km4ihuQcCR07ug
1258557284.507743   192.168.1.102     1323        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)      CKqsCHMuBkHQJL9H
1258557404.807485   192.168.1.104     1338        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)    CKBefh1ZMU2EmzSsf9
1258559755.293031   192.168.1.103     1342        212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)     CMl5ZZ7rjjk7wRy82
1258564598.562619   192.168.1.104     1443        212.227.97.133    80       	bro-demo       tcp     4          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)    Cy0K073YbILIfRdzDb
1258566926.641442   192.168.1.103     1818        212.227.97.133    80       	bro-demo       tcp     2          0            0            S0           [1 - 3)     0          ClN8oB1l4mu7xmsyJf
1258568015.656191   192.168.1.105     49346       212.227.97.133    80       	bro-demo       tcp     1          [1023 - 2047)   [255 - 511)   SF           [3 - 7)     [3 - 7)     CuEvoGfLunBTYeXzb
